Asset,STRIDE,STRIDE Category,Threat,Impact,Mitigation
CI/CD pipeline,S,Spoofing,"- developer impersonation ( credentials, VPN, MFA tokens, ecc.)
- impersonation of a legitimate CI worker
- depoyment controller spoofing
- signing service identity spoofing","- by spoofing controls or credential of admin accounts, the attacker can introduce bugs, backdoors and vulnerabilities in the system, with the potential of compromising the system
- an attacker accessing the CI/CD repository can potentially disclosure the code, secrets and credentials.  this can dispatch intelligente about the logic and configuration of SCADA, PDC and communication services
- execution of malicious code
- bogus and malicious code is deployed because its origin appears to be the authorized system, malicious EMS, PDC control
- compromise signing procedures potentially deploying unreliable code","- MFA for developers and administrators
- PAM for privileged users
- SSO and centralized IAM
- short-lived credentials
- mTLS between pipeline components
- workload identity mechanisms
- trusted package sources and repository pining
- signed commits and tags"
CI/CD pipeline,T,Tampering,"- change of the source repository to introduced backdoors, hidden functions or conditional logic
- compromisation of the script used for building the code
- poisoning of dependencies such as third party library which are know to be used
- container image tampering
- security tests, unit tests, or compliance checks are bypassed or falsified","- injection of malicious code in the compilation if the code, while the soruce repository remains clear and the code in it is trusted. Deployment of malicious code with potential issues and compromised services
- attacker has methods to enter the system, read data, gain intelligence about the system and so perform better attacks
- pipleine imports automatically issues that can be exploited, compromisation of telemetry analysis, data exfiltration etc.
- block reboot and patching","- software supply chain security and supply chain attestation
- signed commits, protected branches and mandatory reviews, multiple approval process
- singed image and image scanning
- immutable registries 
- approved repositories and dependency scanning
- immutable runners
- IaC security scanning"
CI/CD pipeline,R,Repudiation,"- removal or modification of evidence linking software vulnerabilities to commits or users performing them 
- forgery of approval records
- artifact origin repudiation
- security test repudiation","- loss of accountability of actions 
- loss  of correspondance between identity and credentials used
- harder to permanently block unlegitimate users or accounts
- loss of correspondance between attack or failure time and actions causing incidents
- harder to understand who changed the code in malicious version
- harder to detect problematic approval processes","- immutable and centralized logging with SIEM integration
- no shared accounts
- session and approval recording
- signed commits, releases and build attestations
- mandatory reviewers
- separation of duties
- timestamp protection"
CI/CD pipeline,I,Information Disclosure,"- running secrets are extracted and disclosed (e.g. credentials, configuration, deployment tokens)
- source code theft, exposure of algorithms, processing lofic and detection mechanims
- compromisation of signing key infrastucture
- diclosure of IaC repository
- build log and supply chain metadata disclosure","- possibility to attack or infiltrate in other parts of the whole smart grid environment
- loss of proprietary data, technologies and strategies that could help attackers in elaborating successful attacks
- possibility to sign compromised code and make it look legitimate, execution of untrusted software compromising the base functionaliries of EMS, PDC and SCADA controls 
- exposure of cloud topology, communication paths, monitoring structure potentially leading to successful attacks thanks to the knowledge of the topology
- with compromised credentials, it is possible to have access to the code deployed, exfiltrate procedures and algorithms","- short lived credentials, secret rotation, dynamic secrets and vault solutions
- encryption of configuration at rest and in transit 
- least privilege prinicple and role separation
- secret masking and logging"
CI/CD pipeline,D,Denial of Service,"- build infrastructure overload by flooding it with jobs
- unavailability of code storage platform
- GitOps synchronization failure
- deletion of CI/CD pipeline configuration
- logs, artifacts, or caches consume storage resources, causing pipeline failures
- loss of synchronization between desired and deployed states prevents updates or recovery procedures","- delay in installation of security patches for vulnerable components, increasing the time the vulnerability can be exploited and used by an attacker
- dealy in reconfiguration of the system after attacks related to configuration changes or malicious code execution leaving the system in an unusable state or critical EMS and PDC functionalities altered to disrupt the desidered state analysis","- redundant Git servers and replicated registries
- high availability deployment controllers
- resource controls such as job quotas, concurrency limits and rate limiting
- artifact caching and local mirroring of resources
- configuration backups
- queue monitoring, capacity monitoring and storage monitoring"
CI/CD pipeline,E,Elevation of Privilege,"- developer gaining deployment credentials exploiting misconfigured pipeline permissions
- compromisation of signing service","- unauthorized modification of PDC and SCADA service exploiting misconfigured pipeline permissions
 - compromised versions are not distinguishable from legitimate ones since they are all signed","- fine frained RBAC
- separation of duties
- dedicated service accounts
- immutable build environment
- key rotation
- multi-party approval
- supply- chain security assessment"
container registries,S,Spoofing,"- attacker impersonates a legitimate developer using stolen registry credentials and inserts malicious versions of the container images for example inserting backdoors
- malicious registry mirrors impersonate trusted registries and provides compromised images
- DNS poisoning attack redirecting to a fake registry endpoint
- signing service spoofing","- unauthorized image download, potentially propritary images revealing important information about the handling of the components of the smart grid and vulnerabilities increasing the probability of completing successful attacks
- upload of compromised images containing backdoors and if installed, giving the attacker the possibility to enter the smart grid in the components using those images,or sending data to unauthorized parties
- authorized credential theft
- supply chain compromise: the malicious images could be deployed for EMS, PDC and SCADA services disrupting their critical functions
- once the malicious changes have been applied they can be used for performing lateral movements, e.g from high-level PDC data analysys to high-level PDC monitoring system","- strong identity protection with MFA, SSO, PAM and short-lived credentials
- mTLS between registry and client to for ensuring mutual authenticationo
- registry validation, certificate validation and repository pinning
- image signing, trusted signing roots and precise signature verification
- protected discovery service 
- DNSSEC"
container registries,T,Tampering,"- modification of images stored in the container, inserting backdoors or changing manifests and metadata
- manipulation of the vulnerability scan service to allow the replacement of trusted images with  malicous ones
- change of the state of approval of images from malicious to verified","- deployment of compromised workload, mining the stability of the whole architecture because it could have different kind of vulnerabilities for example disclosing sensitive information or opening backdoors
- compromising the vulnerability check service means exposing the system to a high-level of risk potentially introducing and not detecting important issues
- potential compromisation of the whole system using compromised images or even just one of them","- image integrity: signed images, digest-based deplyment
- SBOM generation and provenance attestation
- indipendent vulnerability scanning and continuous process
- multiple approval for critical changes
- backups, integrity monitoring and audit trails"
container registries,R,Repudiation,"- no proof that a deployer pushed or modified a certain image
- no proof that the admin has introduced or changed something in configuration or access management
- CI/CD operating under a shared identity, so there is no proof of who did what
- unreliable or compromised logs","- no accountability for compromised or vulnerable images
- no accountability for configuration changes that may remain hidden and let an attacker compromise the critical services
- delayed incident response extending the exposure of critical components
- compliance issues","- immutable and centralized logging system with append-only technology
- individual accounts not shared 
- signed commits and images
- admin session monitoring
- trusted time synchonization system"
container registries,I,Information Disclosure,"- unatuthorized access to private images
- leakage of secrets contained in images
- exposure of vulnerabilities or discovery them by analyzing the code
- disclosure of operational solutions applied based on system weaknesses
- exposure of images metadata that can reveal grid structure or code orgnaization or core idea","- disclosure of information that could be usefult for an attacker to have a good understanding of the system, such as configuration, architecture, weaknesses or operational solutions, making easier a successful attack on the grid
- exposure of configuration code that can be used for reverse engineering processes
- loss of compliace for sensitive data exposure
- credential compromise can lead to the attack or compromisation of other components, causing lateral movements to critical services such as SCADA conrtol","- RBAC and least privilege principle
- secret mangement in external vaults
- secret scanning and avoidance of embedded secrets
- restict repository visibility
- access auditing and DLP mechanisms"
container registries,D,Denial of Service,"- flooding the API registry with requests
- exhausting memory by uploading too many images which are useless
- database corruption because of a malware,  vulnerability exploitation or physical failure
- garbage collection misuse
- dependency service failure e.g. authentication, database, object storage","- images cannot be uploaded or downloaded, so new application or update to existing ones cannot be provided
- CI/CD pipeline not working, blocking patching of vulnerabilities and updates of systems, making it harder to recover from failures or successful attacks, in a smart grid environment the attacker could exploit the vulnerability for more time without being blocked
- delayed analytics, degraded visibility and monitoring and consequently increased operational risk","- high availability consisting in replicated registies with geo-redundancy and high availability databases
- API rate limiting and resource quotas
- offline backups
- local caching 
- related system high-availability and resource protection"
container registries,E,Elevation of Privilege,"- exploit of misconfigured registry permission or compromisation of the CI/CD admin priviledges
- exploitation of software vulnerabiltiies in the architecture handling the registry
- weak security policies for signing entities or credentials not properly secured","- full control of the image repo, ability to publish and also delete trusted images, ability to change the permisions and make the files public
- potential disclosure of important information, availability and also integrity of the database, potential impact on the smart grid operational plane if this is not properly discovered by the actors.","- properly configured RBAC policies with strong and proper role separation, deny-by-default
- MFA, SSO and PAM
- dedicated service accounts and workload identities 
- strong separation between development, staging and production
- registry hardeining
- proper vulnerability patches
- zero-trust communication"
cloud storage,S,Spoofing,"- Attacker uses stolen or forged cloud credentials to access storage
- Compromised service account impersonating a legitimate EMS or high-level PDC to read and write data
- Corss-account trust misconfiguration enabling impersonation
- API key leakage from CI/CD repo or other sources","- unauthorized access to data stored, telemetry, results of smart grid analysis, telemetry data, events happened, hisotry of the system, topology of the network, configuration. This data can help in understanding the vulnerability of the grid
- unauthorized upload and download of data, able to change the history of the grid
- compliance violation
- lateral movement into other cloud environment","- MFA for administrators
- short-lived credentials
- workload identity with proper token rotation
- fine-grained IAM roles and separation of service identities
- mutual authentication for data communication (e.g. mTLS)
- resticted trust relationships with explicit role assumption"
cloud storage,T,Tampering,"- alteration / deletion / creation of stored objects about grid history, telemetry data, events, topology of the grid, metadata
- alteration of storage policies","- corruption of data, impacting further statistics and measurements computed on the grid, potential to impact dependent applications such as control of the grid levels and stability based on old parameters                                                               - alterating the storage policies, the data could be disclosed or lost unintentionally, causing compliance problems and facilitating attackers","- immutable backups
- object lock
- versioning 
- checksums, cryptographic hashes for data integrity
- encryption 
- signing for critical datasets
- offline backu copies"
cloud storage,R,Repudiation,"- user or service denies modifying, inserting or deleting data 
- admin denies modifying storage policies and configuration
 - missing or altered audit trails upon malicious activities 
 - use of shared service accounts obsuring accountability","- compromised non reputation and accountability
- inability to attribute actions leading to further problems in solving problematic situations in the grid and avoid its repeatability
- slower incident response because of the lost trustworthiness of logs
- compliance violation 
- inability to understand whether an attacker accessed the data and disclosed them","- centralized and immutable logging system
- individual accounts only
- cryptographic protected logs e.g. signed chains or hash chains
- authenticated time source
- session recording for admin accounts"
cloud storage,I,Information Disclosure,"- exposure and download of confidential data about the grid because of access control misconfiguration
 - metadata disclosure revealing system architecture and business operations","- Specific data about the smart grid could help the attacker in planning a complete attack on the smart grid having a detailed info about the system. The grid is not directly impacted by this, but there can be problems with regulations compliace
-  Privacy violations in case the data are sensitive about the customers and not correctly protected 
- Increased reconnaisance capabilities
- disclosure of critical datasts for the EMS and monitoring systems can give the attacker information about the data used in the critical service and so help them in compromise the algorithms with FDI
- disclosure of historical data about point of failure revealing the weknesses of the system","- encryption of data at rest and in transit, with mutual authentication to prevent impersonation
- private endpoints
- monitoring and alerting
- key rotation and strong authentication policies for users"
cloud storage,D,Denial of Service,"- API flooding from authorized or unauthorized users
- exhaustion of storage quotas by introducing fake or useless data
- ransomware attack
- compromise of replication or backup process","- storage blocked, potential loss of information that should be saved while the storage is out of order
- potential increasing inaccuracy of statistics calculated based on the data related to the grid
- the system is not totally impacted, but it continuos in its critical functions","- high availability with multi-region replication and availability zones
- disaster recovery procedures
- rate limiting, quotas and alerting
- capacity monitoring and latency monitoring
- randomware protection with immutable snapshots, versioning and object locks"
cloud storage,E,Elevation of Privilege,"- abuse of permissive roles
- misconfigured access policies
- compromise of cloud admin account
- priviledge escalation for cloud permissions","- full control of storage resources, possibility to delete it, removing all the data, alter security controls, compromising accounts, controlling storage resources. The storage can be lost while the rest of the system continuous working.","- fine grained IAM with least privilege principle and deny by default
- strong separation of duties between storage admin, backups operator and application owner
- strong and tested authentication mechanisms 
- continuous permission analysis
- monitoring to detect privilege changes 
- automatic compliance checks"
terraform and helm manifests,S,Spoofing,"- By spoofing credentials or API keys, manifests are introduced as legitimate while they are not. Also inserting these manifests in the backup service would lead to this result if the backup is executed.
- Development identities impersonate production deployment identities","Unatuthorized infrastructure definitions are trusted, malicious manifests are executed. Operational services such as monitoring EMS or high-level PDC analysis are completely compromised","- strong identity management with MFA, SSO and PAM
- workload identity with dedicated GitOps, short-lived tokens and identity federation
- signed artifacts, in particular commits and tags
- repository protection with protected banches, trusted mirrors and repository pinning
- separate credentials for the different roles"
terraform and helm manifests,T,Tampering,"- changes of existing configurations manipultating for example security rules (firewalls, network segmentation, permissione, storage) 
- substitution of configuration with malicious manifests 
- manipulation of Terraform state files causes incorrect resource management","the attacker reduces the security of the machines in the system, he can also open backdoors and expand the attack surface taking the control of the system. this could affect the state-estimation supporting services or disrupt PMU data aggregation reducing operator situational awareness","- single source of truth and GitOps automated reconciliation
- sined configurations, in partocular commits and helm charts
- mandarory reviews and approval
- policy as a code with tools such as OPA Gatekeeper
- encrypted terraform state and versioned state files
- drift detection"
terraform and helm manifests,R,Repudiation,"- inability to determine who did changes 
- missing version control
- no audit trails or signed commits
- shared identities among multiple actors using common credentials
- unsined changes, so that the commits cannot be attributed
- missing version history because changes are not tracked","- no accountability
- harder to discover attacks and also prevent new ones
- recovery becomes slower
- difficulty in resoring trusted configuration because of the difficulty to restore the last good-state, this leaves the services vulnerable for a bigger period of time","- version control with Git repositories and immutable history
- centralized logging system ensuring immutability
- no shared accounts
- time synchronization for logs and signing, coming from a trusted source"
terraform and helm manifests,I,Information Disclosure,"- unauthorized access to manifests repositories
- exposure of configuration of deployment and architecure information
- Leakage of embedded secrets, network topology and service relationships
- tags, naming conventions, labelr and general metadata disclosure
- backup repository made public","- attacker discovers important information about the system that could be used for exploiting other vulnerabilities, eg. knowning EMS supporting infrastructure it is possible to target it to disrupt the general state estimation service for the whole grid
- exposed secrets could grant access to other parts of the system, thus increasing the blast radius of the attack","- strong RBAC policies with proper role separation and least privilege principle
- secret references instead of real secrets exposure
- encryption of configurations at rest and mutual TLS for its communication to other entities"
terraform and helm manifests,D,Denial of Service,x,x,x
terraform and helm manifests,E,Elevation of Privilege,x,x,x
